"user_id_1","active_user","color","current_location","game_id","image_link","name","public_location","role","user_id_2"
"212797ed-19d7-11ef-9397-591084319220","212797ed-19d7-11ef-9397-591084319220","#FF0000","{""lat"":{""N"":""49.0040575""},""lon"":{""N"":""12.0949335""},""timestamp"":{""N"":""1716561656""}}","07db2e26-19d7-11ef-9113-0242ac150002","","Fresh & Fast","{""lat"":{""N"":""49.0021949""},""lon"":{""N"":""12.0966938""},""timestamp"":{""N"":""1716561414""}}","HUNTER","79ae9ea3-19d7-11ef-8f5e-91251b4272d3"
"2a539389-19d7-11ef-afee-e50b875d9764","2a539389-19d7-11ef-afee-e50b875d9764","#84AE9B","{""lat"":{""N"":""49.0040578""},""lon"":{""N"":""12.0952396""},""timestamp"":{""N"":""1716561249""}}","07db2e26-19d7-11ef-9113-0242ac150002","","Sith","{""lat"":{""N"":""49.0040578""},""lon"":{""N"":""12.0952396""},""timestamp"":{""N"":""1716561249""}}","RUNAWAYS","4908008e-19d7-11ef-89e3-591084319220"
"22591886-19d7-11ef-856a-591084319220","3d759ca3-19d7-11ef-9bd3-e50b875d9764","#000000","{""lat"":{""N"":""48.9994342""},""lon"":{""N"":""12.0951803""},""timestamp"":{""N"":""1716561607""}}","07db2e26-19d7-11ef-9113-0242ac150002","","Thomas","{""lat"":{""N"":""48.9982771""},""lon"":{""N"":""12.0953187""},""timestamp"":{""N"":""1716561414""}}","RUNAWAYS","3d759ca3-19d7-11ef-9bd3-e50b875d9764"
"7855c42e-19d7-11ef-bb1d-91251b4272d3","5fa28584-19d7-11ef-89a9-91251b4272d3","#03A1ED","{""lat"":{""N"":""48.99856007244236""},""lon"":{""N"":""12.092251461066274""},""timestamp"":{""N"":""1716561606""}}","07db2e26-19d7-11ef-9113-0242ac150002","","iso8601","{""lat"":{""N"":""48.999346750494276""},""lon"":{""N"":""12.096957130932552""},""timestamp"":{""N"":""1716561412""}}","RUNAWAYS","5fa28584-19d7-11ef-89a9-91251b4272d3"
